id,num_orders
1028232,191
1127204,145
1212707,115
1082698,45
1400926,29
1284113,242
1197966,256
1132739,203
1057981,73
1095932,114
1454421,112
1149765,242
1166964,286
1010949,251
1409575,22
1181616,21
1456020,244
1264395,220
1472931,92
1412015,70
1461229,106
1014564,134
1485914,72
1345389,98
1006833,126
1174921,18
1175393,16
1152412,24
1497398,21
1363486,21
1366766,35
1192413,24
1319547,234
1337684,88
1479766,148
1460444,1490
1139730,569
1115056,343
1335827,102
1385333,709
1096323,679
1230693,859
1027016,128
1181520,88
1306234,177
1271440,1087
1269834,498
1176823,879
1193098,98
1034878,89
1010243,125
1451807,176
1016845,138
1198021,119
1413802,71
1231223,97
1274226,614
1425142,472
1211593,204
1419190,44
1180223,47
1194932,107
1323477,194
1371595,208
1171521,195
1052384,180
1060921,143
1261811,147
1246502,239
1497466,388
1232717,48
1136112,43
1196334,485
1349533,241
1463406,225
1447686,180
1336105,113
1012855,508
1180646,392
1062490,224
1098228,1293
1101375,711
1400016,393
1439889,51
1408468,98
1044490,74
1290002,684
1190633,718
1040430,982
1049366,107
1224120,136
1293810,216
1197335,741
1323989,468
1129467,712
1229328,61
1164395,57
1217722,73
1171266,122
1024905,98
1343027,132
1141892,51
1302404,56
1170447,619
1140772,502
1103484,216
1387134,25
1117711,23
1472121,26
1289523,382
1091114,364
1043572,489
1103283,162
1265051,126
1168741,116
1052776,128
1206564,174
1302153,342
1083754,45
1097952,40
1251605,37
1333032,419
1086936,212
1088412,147
1236400,46
1244516,85
1380381,58
1495062,467
1439647,288
1019214,274
1316160,678
1022008,536
1138248,234
1052922,37
1181474,52
1046475,42
1216688,325
1067565,454
1008328,425
1430287,102
1406716,125
1105380,131
1248694,649
1252163,297
1443474,491
1033716,68
1300295,67
1311882,58
1257968,57
1226362,147
1030655,132
1210527,63
1278927,42
1232239,46
1133067,404
1382522,439
1219136,244
1498130,23
1251629,28
1032092,24
1249865,132
1207630,165
1144733,212
1436768,44
1148964,37
1237346,244
1206015,75
1105113,151
1430481,33
1001589,94
1224132,67
1074380,331
1097109,375
1211246,200
1390579,303
1473058,299
1186964,119
1222837,50
1342393,59
1170472,182
1170791,304
1046653,289
1195179,99
1332509,99
1438300,106
1435748,606
1052668,216
1227060,361
1342252,66
1143109,51
1394807,61
1448374,40
1028680,90
1079691,76
1402079,44
1424446,52
1133297,296
1076214,633
1173823,360
1488584,23
1072892,23
1277491,27
1290868,165
1048888,187
1138141,234
1473125,33
1196726,29
1179278,26
1282305,83
1359903,48
1355143,81
1095889,38
1250665,92
1426610,60
1390104,375
1051519,404
1337584,191
1332667,2326
1075942,1462
1109804,565
1316684,98
1248315,177
1113611,137
1110867,1010
1247289,1081
1022953,1562
1160081,142
1120430,123
1487280,238
1020081,1700
1329551,1024
1137610,1529
1072530,197
1115708,233
1203532,136
1494216,286
1116374,301
1032497,181
1413930,226
1136118,128
1254872,142
1398257,1158
1364001,890
1369843,363
1379360,67
1442044,64
1285290,69
1129707,438
1086750,501
1147262,614
1025605,209
1414158,180
1082079,146
1467510,190
1374892,314
1171352,558
1213246,88
1279131,87
1256386,99
1234220,858
1008206,517
1267686,415
1470186,104
1233312,207
1279379,137
1431703,350
1339938,389
1010552,393
1237947,897
1175098,573
1066074,231
1045918,66
1226081,46
1148633,395
1441429,428
1291804,577
1305194,95
1327840,114
1320801,173
1467101,527
1473989,303
1466330,441
1390856,47
1120639,79
1279275,56
1166120,73
1128404,40
1252491,39
1328056,449
